Predicted_Tuition,Lower_Quantile_Tuition,Upper_Quantile_Tuition
44230.860760853546,33660.58902115188,54801.13250055521
26695.427115746224,16125.155376044559,37265.69885544789
38375.58940462897,27805.3176649273,48945.861144330636
26223.70365804054,15653.431918338874,36793.97539774221
20570.31544584463,10000.043706142964,31140.587185546297
26364.887784171067,15794.616044469401,36935.15952387273
27868.404824713893,17298.133085012225,38438.67656441556
29531.468843361487,18961.19710365982,40101.740583063154
24104.916494696306,13534.64475499464,34675.188234397974
39139.218344773435,28568.946605071767,49709.4900844751
47106.314982033655,36536.04324233199,57676.58672173532
32478.71146112379,21908.439721422124,43048.98320082545
41247.140007721275,30676.868268019607,51817.41174742294
41980.45671305517,31410.184973353505,52550.72845275684
26371.438938547184,15801.167198845518,36941.71067824885
21793.68103529169,11223.409295590025,32363.952774993355
45574.79240487016,35004.52066516849,56145.06414457183
46656.150274352956,36085.87853465129,57226.422014054624
2723.354613321768,-7846.917126379898,13293.626353023434
26672.975922828,16102.704183126336,37243.24766252967
17165.386078556687,6595.114338855021,27735.657818258354
42509.36117090428,31939.089431202614,53079.63291060595
24013.10151218444,13442.829772482773,34583.37325188611
21032.01749291759,10461.745753215922,31602.289232619252
29728.1807698427,19157.909030141032,40298.45250954437
21039.606453890097,10469.334714188431,31609.878193591765
38617.09786654328,28046.82612684161,49187.369606244945
26722.189139849484,16151.917400147819,37292.46087955115
31149.846878647775,20579.575138946107,41720.11861834944
26982.941284800414,16412.669545098746,37553.21302450208
47470.80107278976,36900.529333088096,58041.07281249143
23026.992131612737,12456.72039191107,33597.263871314404
28586.834230861146,18016.56249115948,39157.105970562814
34296.67454401597,23726.402804314304,44866.94628371764
25517.48231190985,14947.210572208185,36087.75405161152
36873.53291228344,26303.26117258177,47443.804651985105
10240.944448371552,-329.32729133011344,20811.216188073216
12821.080371846261,2250.8086321445953,23391.352111547927
19327.537937830795,8757.26619812913,29897.80967753246
31451.938545752448,20881.66680605078,42022.210285454115
11324.775863731222,754.5041240295559,21895.04760343289
11413.581757032094,843.3100173304283,21983.853496733762
21041.55007647888,10471.278336777215,31611.82181618055
23236.336632548246,12666.06489284658,33806.60837224991
36111.29403083729,25541.022291135625,46681.56577053896
16416.89387823973,5846.622138538065,26987.1656179414
12209.860111306603,1639.5883716049375,22780.13185100827
14428.14198789925,3857.8702481975834,24998.413727600913
45217.25512538416,34646.98338568249,55787.52686508583
18374.68834037005,7804.416600668383,28944.960080071716
21115.60427055954,10545.332530857873,31685.876010261207
22996.43004756771,12426.158307866042,33566.701787269376
32057.273004206665,21487.001264505,42627.54474390833
11040.460772250808,470.1890325491422,21610.732511952476
28535.764374143262,17965.492634441594,39106.03611384493
9917.912995527717,-652.3587441739492,20488.184735229384
22061.758568525667,11491.486828824001,32632.03030822733
20518.48917552994,9948.217435828274,31088.760915231607
